symbol,date,adjclose,close,high,low,open,volume
COF,2014-04-29 05:30:00.0,70.041621,73.510002,73.660004,73.209999,73.440002,4016100.0
COF,2013-09-11 05:30:00.0,63.872935,67.620003,68.099998,67.330002,67.889999,2218400.0
COF,2008-07-21 05:30:00.0,36.935748,42.080002,44.650002,41.75,42.66,1.43904E7
COF,2005-04-14 05:30:00.0,63.965082,74.230003,74.779999,74.040001,74.279999,2225600.0
COF,2000-12-21 05:30:00.0,50.688677,59.375,60.125,57.6875,59.125,1200500.0
COF,2000-11-22 05:30:00.0,41.351289,48.4375,51.5,48.375,51.5,1790800.0
HD,2013-07-24 05:30:00.0,75.437218,80.269997,80.470001,79.580002,80.449997,4813300.0
HD,2011-07-26 05:30:00.0,32.620409,36.389999,36.959999,36.369999,36.59,9886700.0
HD,2007-10-19 05:30:00.0,24.270006,30.76,31.85,30.559999,31.719999,2.703E7
HD,2005-10-06 05:30:00.0,28.796164,37.919998,38.450001,37.48,37.810001,1.19399E7
MAR,2010-09-10 05:30:00.0,31.029798,35.510003,35.99,35.359999,35.590004,2522200.0
MAR,2008-09-12 05:30:00.0,24.539684,28.81991,29.989905,28.339905,28.799904,5208200.0
MAR,2003-09-15 05:30:00.0,16.448866,40.110059,40.500055,40.040056,40.290061,779500.0
MAR,2003-01-23 05:30:00.0,13.248926,32.44004,32.510046,31.850046,32.12005,1745600.0
MAR,2000-11-03 05:30:00.0,15.95374,39.687559,40.125056,39.062555,39.062555,397900.0
UDR,2012-10-03 05:30:00.0,21.232934,24.469999,24.73,24.4,24.700001,2476600.0
UDR,2008-04-17 05:30:00.0,16.519532,25.389999,25.450001,24.700001,24.82,1109900.0
UDR,2003-11-13 05:30:00.0,9.363193,18.219999,18.24,18.030001,18.24,210300.0
SYY,2015-03-26 05:30:00.0,36.239827,37.880001,38.07,37.810001,38.0,2960100.0
SYY,2008-09-25 05:30:00.0,25.246767,33.169998,33.52,32.52,32.66,3378500.0
HIG,2015-01-13 05:30:00.0,39.318472,40.41,40.970001,40.02,40.650002,3407900.0
HIG,2014-09-04 05:30:00.0,35.631115,36.779999,37.279999,36.759998,37.0,2498600.0
HIG,2013-05-07 05:30:00.0,27.650456,29.290001,29.299999,29.09,29.23,5301700.0
HIG,2011-04-11 05:30:00.0,24.75936,27.299999,27.629999,27.17,27.23,2583400.0
HIG,2009-09-28 05:30:00.0,25.587932,28.620001,28.73,25.799999,25.940001,1.86825E7
HIG,2008-08-21 05:30:00.0,49.934812,59.779999,60.439999,59.279999,60.43,2328900.0
HIG,2007-10-16 05:30:00.0,77.728869,94.949997,96.860001,94.620003,96.800003,1403700.0
HIG,2006-01-30 05:30:00.0,66.580186,84.279999,85.410004,84.230003,85.0,1150700.0
HIG,2001-04-05 05:30:00.0,43.439752,60.0,60.25,58.5,59.0,1620500.0
